Gene	RNA blood cell specificity	RNA cancer specificity
WDR37	Low cell type specificity	Low cancer specificity
YTHDC2	Low cell type specificity	Low cancer specificity
CTPS2	Low cell type specificity	Low cancer specificity
ATP6V1H	Low cell type specificity	Low cancer specificity
POLR2B	Low cell type specificity	Low cancer specificity
FAM214A	Low cell type specificity	Low cancer specificity
ARAP2	Low cell type specificity	Low cancer specificity
TPR	Low cell type specificity	Low cancer specificity
CP	Low cell type specificity	Cancer enhanced
KIAA0556	Cell type enhanced	Low cancer specificity
DTNBP1	Low cell type specificity	Low cancer specificity
XK	Group enriched	Low cancer specificity
ANO2	Cell type enriched	Cancer enhanced
C12orf4	Low cell type specificity	Low cancer specificity
SCML1	Cell type enhanced	Low cancer specificity
WWC3	Low cell type specificity	Low cancer specificity
ARHGAP6	Low cell type specificity	Cancer enhanced
FAM184B	Not detected	Low cancer specificity
MAP4	Low cell type specificity	Low cancer specificity
GOPC	Low cell type specificity	Low cancer specificity
ROS1	Not detected	Cancer enriched
USP28	Low cell type specificity	Low cancer specificity
HDAC9	Cell type enhanced	Low cancer specificity
TSPAN17	Low cell type specificity	Low cancer specificity
NOP16	Low cell type specificity	Low cancer specificity
CC2D2A	Cell type enhanced	Low cancer specificity
RRM2B	Low cell type specificity	Low cancer specificity
ZNF800	Low cell type specificity	Low cancer specificity
TNFRSF17	Group enriched	Low cancer specificity
SNX29	Cell type enhanced	Low cancer specificity
LMO3	Not detected	Cancer enhanced
MRPS10	Low cell type specificity	Low cancer specificity
GUCA1A	Cell type enriched	Cancer enriched
RSF1	Low cell type specificity	Low cancer specificity
VPS13D	Low cell type specificity	Low cancer specificity
CELF2	Low cell type specificity	Low cancer specificity
FAM120A	Low cell type specificity	Low cancer specificity
R3HDM1	Low cell type specificity	Low cancer specificity
COL9A2	Group enriched	Cancer enhanced
KITLG	Not detected	Low cancer specificity
ERCC8	Low cell type specificity	Low cancer specificity
ADAMTS6	Cell type enhanced	Low cancer specificity
H6PD	Low cell type specificity	Low cancer specificity
VAMP3	Low cell type specificity	Low cancer specificity
PER3	Low cell type specificity	Low cancer specificity
UTS2	Cell type enriched	Low cancer specificity
TNFRSF9	Group enriched	Low cancer specificity
EPN3	Not detected	Low cancer specificity
LTBP1	Cell type enhanced	Low cancer specificity
RCN1	Low cell type specificity	Low cancer specificity
ELN	Not detected	Low cancer specificity
RFC2	Low cell type specificity	Low cancer specificity
ARID1B	Low cell type specificity	Low cancer specificity
CLPTM1L	Low cell type specificity	Low cancer specificity
NEDD4L	Cell type enhanced	Low cancer specificity
FOXP3	Cell type enriched	Low cancer specificity
PPP1R3F	Cell type enriched	Low cancer specificity
HEXB	Low cell type specificity	Low cancer specificity
PTCD2	Low cell type specificity	Low cancer specificity
NEXMIF	Not detected	Low cancer specificity
JKAMP	Low cell type specificity	Low cancer specificity
DKK3	Group enriched	Low cancer specificity
ARHGEF5	Low cell type specificity	Low cancer specificity
NFE2L3	Low cell type specificity	Low cancer specificity
MCUR1	Low cell type specificity	Low cancer specificity
LIMA1	Low cell type specificity	Low cancer specificity
LETMD1	Low cell type specificity	Low cancer specificity
SLC4A8	Low cell type specificity	Group enriched
LAMC3	Low cell type specificity	Low cancer specificity
PTGER3	Cell type enriched	Group enriched
TNIP3	Cell type enhanced	Low cancer specificity
MAPK9	Cell type enriched	Low cancer specificity
COL23A1	Cell type enriched	Cancer enhanced
BCAR1	Not detected	Low cancer specificity
FAM160A2	Low cell type specificity	Low cancer specificity
HERPUD1	Low cell type specificity	Low cancer specificity
HOMER3	Cell type enhanced	Low cancer specificity
RAD51	Low cell type specificity	Low cancer specificity
POLQ	Cell type enhanced	Low cancer specificity
PIK3CB	Low cell type specificity	Low cancer specificity
CYBA	Cell type enhanced	Low cancer specificity
THOC3	Low cell type specificity	Low cancer specificity
HEBP2	Low cell type specificity	Low cancer specificity
MPHOSPH9	Low cell type specificity	Low cancer specificity
PLEKHA5	Cell type enhanced	Low cancer specificity
PRSS8	Cell type enhanced	Low cancer specificity
SIKE1	Low cell type specificity	Low cancer specificity
RRP12	Cell type enhanced	Low cancer specificity
FNIP2	Group enriched	Low cancer specificity
MSMO1	Low cell type specificity	Low cancer specificity
TTC17	Low cell type specificity	Low cancer specificity
ALX4	Not detected	Cancer enhanced
FSTL4	Low cell type specificity	Low cancer specificity
FOXN3	Low cell type specificity	Low cancer specificity
METTL24	Cell type enriched	Low cancer specificity
AKR7A2	Low cell type specificity	Low cancer specificity
MRTO4	Low cell type specificity	Low cancer specificity
NNAT	Cell type enhanced	Group enriched
USE1	Low cell type specificity	Low cancer specificity
MCF2L2	Cell type enriched	Not detected
NRIP2	Cell type enhanced	Low cancer specificity
LAMA3	Cell type enhanced	Low cancer specificity
AP5M1	Low cell type specificity	Low cancer specificity
ANAPC4	Low cell type specificity	Low cancer specificity
KCNQ1	Low cell type specificity	Low cancer specificity
TRAPPC3	Low cell type specificity	Low cancer specificity
THRAP3	Low cell type specificity	Low cancer specificity
PHPT1	Low cell type specificity	Low cancer specificity
ENTPD2	Cell type enriched	Low cancer specificity
LY75	Low cell type specificity	Low cancer specificity
ARID4B	Low cell type specificity	Low cancer specificity
OPN3	Cell type enriched	Low cancer specificity
SDCCAG8	Low cell type specificity	Low cancer specificity
PTPRN	Not detected	Group enriched
HHAT	Cell type enhanced	Low cancer specificity
KIF1B	Cell type enhanced	Low cancer specificity
FOXC1	Cell type enriched	Low cancer specificity
TBC1D22A	Low cell type specificity	Low cancer specificity
SYNE2	Cell type enhanced	Low cancer specificity
PLEKHH1	Not detected	Low cancer specificity
ATP9A	Group enriched	Low cancer specificity
SPO11	Not detected	Not detected
CBLN4	Not detected	Low cancer specificity
CHRDL2	Cell type enriched	Cancer enhanced
FAM168A	Low cell type specificity	Low cancer specificity
RELT	Low cell type specificity	Low cancer specificity
GALC	Low cell type specificity	Low cancer specificity
NOP58	Low cell type specificity	Low cancer specificity
SZRD1	Low cell type specificity	Low cancer specificity
KCNH2	Cell type enhanced	Low cancer specificity
CUL1	Low cell type specificity	Low cancer specificity
FAM114A2	Low cell type specificity	Low cancer specificity
CYFIP2	Low cell type specificity	Low cancer specificity
TAB2	Low cell type specificity	Low cancer specificity
GINM1	Low cell type specificity	Low cancer specificity
EIF2AK2	Low cell type specificity	Low cancer specificity
USP36	Low cell type specificity	Low cancer specificity
KMT2C	Low cell type specificity	Low cancer specificity
MCOLN3	Cell type enhanced	Cancer enriched
CCDC85A	Cell type enhanced	Low cancer specificity
PUM2	Low cell type specificity	Low cancer specificity
MRPL43	Low cell type specificity	Low cancer specificity
ITIH4	Cell type enhanced	Cancer enriched
ITIH1	Cell type enhanced	Cancer enriched
HPF1	Low cell type specificity	Low cancer specificity
ZFR	Low cell type specificity	Low cancer specificity
ZNF280C	Low cell type specificity	Low cancer specificity
NPFFR2	Cell type enhanced	Low cancer specificity
PHF21B	Not detected	Cancer enhanced
TRAF1	Low cell type specificity	Low cancer specificity
RC3H2	Low cell type specificity	Low cancer specificity
IL17RB	Low cell type specificity	Low cancer specificity
TRAF3IP2	Low cell type specificity	Low cancer specificity
GYG2	Low cell type specificity	Cancer enhanced
DCBLD2	Low cell type specificity	Low cancer specificity
SERPINB3	Not detected	Cancer enhanced
SOAT1	Low cell type specificity	Low cancer specificity
PKP2	Cell type enhanced	Low cancer specificity
MSH4	Not detected	Not detected
F7	Group enriched	Cancer enriched
GDI2	Low cell type specificity	Low cancer specificity
PRDM1	Group enriched	Low cancer specificity
ATG5	Low cell type specificity	Low cancer specificity
TMCC3	Cell type enhanced	Low cancer specificity
PITHD1	Low cell type specificity	Low cancer specificity
MTA3	Low cell type specificity	Low cancer specificity
USP13	Cell type enriched	Low cancer specificity
ATP11B	Low cell type specificity	Low cancer specificity
LAMC2	Low cell type specificity	Cancer enhanced
CDK14	Group enriched	Low cancer specificity
SEC61A1	Low cell type specificity	Low cancer specificity
PPP1R12A	Low cell type specificity	Low cancer specificity
RASGRF1	Cell type enhanced	Low cancer specificity
CAMK2B	Low cell type specificity	Low cancer specificity
CROCC	Low cell type specificity	Low cancer specificity
POLR3E	Low cell type specificity	Low cancer specificity
ATP2B4	Low cell type specificity	Low cancer specificity
ZC3H11A	Low cell type specificity	Low cancer specificity
RIOK2	Low cell type specificity	Low cancer specificity
YIPF1	Low cell type specificity	Low cancer specificity
NDC1	Low cell type specificity	Low cancer specificity
DGKG	Group enriched	Cancer enhanced
FLYWCH1	Low cell type specificity	Low cancer specificity
UNKL	Low cell type specificity	Low cancer specificity
TBXAS1	Group enriched	Low cancer specificity
PARP12	Low cell type specificity	Low cancer specificity
ALDH18A1	Low cell type specificity	Low cancer specificity
TARBP1	Cell type enhanced	Low cancer specificity
GATB	Low cell type specificity	Low cancer specificity
MXD1	Cell type enriched	Low cancer specificity
CDK17	Low cell type specificity	Low cancer specificity
DNAJC25	Low cell type specificity	Low cancer specificity
SLC2A3	Group enriched	Cancer enriched
PSD	Low cell type specificity	Low cancer specificity
CTDP1	Cell type enhanced	Low cancer specificity
YBX3	Cell type enhanced	Low cancer specificity
STYK1	Cell type enriched	Low cancer specificity
WNK1	Low cell type specificity	Low cancer specificity
CCAR1	Low cell type specificity	Low cancer specificity
OGFR	Group enriched	Low cancer specificity
GNA15	Cell type enhanced	Low cancer specificity
CREB3L3	Group enriched	Cancer enriched
PIGV	Low cell type specificity	Low cancer specificity
PTPRU	Not detected	Low cancer specificity
SNRNP40	Low cell type specificity	Low cancer specificity
RIMBP2	Cell type enriched	Low cancer specificity
COL11A1	Not detected	Low cancer specificity
QSER1	Low cell type specificity	Low cancer specificity
MPC1	Low cell type specificity	Low cancer specificity
ACAA1	Low cell type specificity	Low cancer specificity
BCAT1	Cell type enhanced	Low cancer specificity
HDAC7	Cell type enriched	Low cancer specificity
LZTS1	Cell type enhanced	Cancer enhanced
PRDM6	Not detected	Low cancer specificity
WNT8A	Cell type enriched	Cancer enriched
SPAG4	Cell type enhanced	Low cancer specificity
NCKAP1	Cell type enhanced	Low cancer specificity
MRPS35	Low cell type specificity	Low cancer specificity
GUCY1B1	Group enriched	Low cancer specificity
SFSWAP	Low cell type specificity	Low cancer specificity
TNK2	Low cell type specificity	Low cancer specificity
MON2	Low cell type specificity	Low cancer specificity
CDH3	Low cell type specificity	Low cancer specificity
ARSF	Cell type enhanced	Cancer enhanced
GPBP1	Low cell type specificity	Low cancer specificity
DGAT2	Group enriched	Cancer enhanced
ZNF112	Cell type enhanced	Low cancer specificity
CS	Low cell type specificity	Low cancer specificity
LTK	Group enriched	Low cancer specificity
MRPS24	Low cell type specificity	Low cancer specificity
ELMO2	Low cell type specificity	Low cancer specificity
WAPL	Low cell type specificity	Low cancer specificity
VMP1	Cell type enriched	Low cancer specificity
APPBP2	Low cell type specificity	Low cancer specificity
POLD1	Low cell type specificity	Low cancer specificity
SEZ6	Group enriched	Cancer enriched
EIF4B	Low cell type specificity	Low cancer specificity
SLC6A16	Low cell type specificity	Low cancer specificity
BICRA	Low cell type specificity	Low cancer specificity
SPHK2	Low cell type specificity	Low cancer specificity
RPL18	Low cell type specificity	Low cancer specificity
CA11	Low cell type specificity	Low cancer specificity
ISOC2	Low cell type specificity	Low cancer specificity
U2AF2	Low cell type specificity	Low cancer specificity
EPN1	Low cell type specificity	Low cancer specificity
MED29	Low cell type specificity	Low cancer specificity
AHRR	Cell type enhanced	Low cancer specificity
GSC2	Not detected	Not detected
ZNF275	Low cell type specificity	Low cancer specificity
MTMR1	Low cell type specificity	Low cancer specificity
GPC1	Not detected	Low cancer specificity
ADCK1	Low cell type specificity	Low cancer specificity
HAGH	Low cell type specificity	Low cancer specificity
RNF4	Low cell type specificity	Low cancer specificity
CASP8	Low cell type specificity	Low cancer specificity
LIMCH1	Cell type enriched	Low cancer specificity
INTS13	Low cell type specificity	Low cancer specificity
TM7SF3	Low cell type specificity	Low cancer specificity
DLX3	Not detected	Low cancer specificity
SPA17	Low cell type specificity	Low cancer specificity
TSPAN32	Low cell type specificity	Low cancer specificity
WISP2	Not detected	Cancer enhanced
DMRT3	Not detected	Cancer enhanced
ST3GAL6	Cell type enhanced	Cancer enhanced
ATP2C2	Cell type enriched	Low cancer specificity
NGFR	Cell type enriched	Low cancer specificity
CDON	Cell type enhanced	Low cancer specificity
TAF2	Low cell type specificity	Low cancer specificity
HIPK2	Cell type enriched	Low cancer specificity
TNPO3	Low cell type specificity	Low cancer specificity
BORCS8.MEF2B	Not detected	Not detected
RFXANK	Low cell type specificity	Low cancer specificity
TMEM161A	Low cell type specificity	Low cancer specificity
LPAR2	Low cell type specificity	Low cancer specificity
CTSA	Low cell type specificity	Low cancer specificity
SUGP2	Low cell type specificity	Low cancer specificity
SLC12A2	Cell type enhanced	Cancer enhanced
SNX24	Low cell type specificity	Low cancer specificity
EYA2	Cell type enriched	Cancer enhanced
CNN2	Low cell type specificity	Low cancer specificity
ABCA7	Low cell type specificity	Low cancer specificity
SNCAIP	Cell type enriched	Low cancer specificity
DDX20	Low cell type specificity	Low cancer specificity
BTBD1	Low cell type specificity	Low cancer specificity
FAR2	Cell type enhanced	Low cancer specificity
BCAS1	Cell type enhanced	Low cancer specificity
