Gene	RNA blood cell specificity	RNA cancer specificity
GLS	Low cell type specificity	Low cancer specificity
PAPOLG	Low cell type specificity	Low cancer specificity
DNAH6	Group enriched	Low cancer specificity
PECR	Low cell type specificity	Cancer enhanced
UNC50	Low cell type specificity	Low cancer specificity
IGFBP2	Cell type enhanced	Low cancer specificity
ELMOD3	Low cell type specificity	Low cancer specificity
IGFBP5	Not detected	Low cancer specificity
USP34	Low cell type specificity	Low cancer specificity
EFHD1	Cell type enhanced	Cancer enhanced
KCNJ13	Low cell type specificity	Cancer enriched
CCT4	Low cell type specificity	Low cancer specificity
GGCX	Low cell type specificity	Low cancer specificity
NEU2	Not detected	Not detected
EHBP1	Low cell type specificity	Low cancer specificity
OTX1	Cell type enriched	Low cancer specificity
TXNDC9	Low cell type specificity	Low cancer specificity
COQ10B	Low cell type specificity	Low cancer specificity
GNLY	Cell type enhanced	Low cancer specificity
SF3B1	Low cell type specificity	Low cancer specificity
ST3GAL5	Low cell type specificity	Cancer enhanced
CHST10	Low cell type specificity	Low cancer specificity
PDCL3	Low cell type specificity	Low cancer specificity
MOB4	Low cell type specificity	Low cancer specificity
HSPE1	Low cell type specificity	Low cancer specificity
KDM3A	Low cell type specificity	Low cancer specificity
PLCD4	Low cell type specificity	Low cancer specificity
CHMP3	Low cell type specificity	Low cancer specificity
ZNF142	Low cell type specificity	Low cancer specificity
IL1R2	Cell type enriched	Low cancer specificity
PRKAG3	Not detected	Not detected
SMYD1	Not detected	Cancer enhanced
IL1R1	Cell type enhanced	Low cancer specificity
WNT6	Cell type enhanced	Cancer enhanced
IL1RL2	Not detected	Low cancer specificity
IL1RL1	Group enriched	Cancer enhanced
IL18R1	Cell type enhanced	Low cancer specificity
IL18RAP	Cell type enhanced	Low cancer specificity
SLC9A2	Not detected	Low cancer specificity
FHL2	Low cell type specificity	Low cancer specificity
MLPH	Low cell type specificity	Low cancer specificity
CNPPD1	Low cell type specificity	Low cancer specificity
UXS1	Low cell type specificity	Low cancer specificity
ABCB6	Low cell type specificity	Low cancer specificity
STK16	Low cell type specificity	Low cancer specificity
SLC5A7	Not detected	Cancer enhanced
HDLBP	Low cell type specificity	Low cancer specificity
PPP1R7	Low cell type specificity	Low cancer specificity
PASK	Low cell type specificity	Low cancer specificity
STK25	Low cell type specificity	Low cancer specificity
TPO	Group enriched	Cancer enriched
PROC	Cell type enriched	Cancer enriched
ID2	Cell type enhanced	Low cancer specificity
TAF1B	Low cell type specificity	Low cancer specificity
HPCAL1	Low cell type specificity	Low cancer specificity
ODC1	Low cell type specificity	Low cancer specificity
BIRC6	Low cell type specificity	Low cancer specificity
NOL10	Low cell type specificity	Low cancer specificity
PLEKHB2	Low cell type specificity	Low cancer specificity
GORASP2	Low cell type specificity	Low cancer specificity
STRN	Low cell type specificity	Low cancer specificity
CEBPZ	Low cell type specificity	Low cancer specificity
PRKD3	Low cell type specificity	Low cancer specificity
DCAF17	Low cell type specificity	Low cancer specificity
QPCT	Cell type enriched	Cancer enhanced
RAB3GAP1	Low cell type specificity	Low cancer specificity
SLC25A12	Low cell type specificity	Low cancer specificity
RMDN2	Low cell type specificity	Low cancer specificity
DLX2	Not detected	Low cancer specificity
LCT	Cell type enriched	Not detected
DARS	Low cell type specificity	Low cancer specificity
SRSF7	Low cell type specificity	Low cancer specificity
SDC1	Cell type enriched	Low cancer specificity
PLCL1	Cell type enhanced	Low cancer specificity
SLC1A4	Low cell type specificity	Low cancer specificity
SOS1	Low cell type specificity	Low cancer specificity
KYNU	Group enriched	Low cancer specificity
WIPF1	Low cell type specificity	Low cancer specificity
ORC2	Low cell type specificity	Low cancer specificity
COX7A2L	Low cell type specificity	Low cancer specificity
PNO1	Low cell type specificity	Low cancer specificity
ORC4	Low cell type specificity	Low cancer specificity
PLEK	Low cell type specificity	Low cancer specificity
RND3	Cell type enhanced	Low cancer specificity
ATF2	Low cell type specificity	Low cancer specificity
THADA	Low cell type specificity	Low cancer specificity
